ktestfunction tests_touch_read-only.sh-out/Dev-out-0/devtest.ktest tests_touch_read-only.sh-out/Dev-out-1/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-0/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-10/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-1/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-5/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-6/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-14/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-3/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-2/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-13/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-8/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-11/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-12/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-7/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-9/devtest.ktest tests_touch_trailing-slash.sh-out/Dev-out-4/devtest.ktest tests_touch_fail-diag.sh-out/Dev-out-0/devtest.ktest tests_touch_empty-file.sh-out/Dev-out-0/devtest.ktest tests_touch_empty-file.sh-out/Dev-out-1/devtest.ktest tests_touch_empty-file.sh-out/Dev-out-2/devtest.ktest tests_touch_dir-1.sh-out/Dev-out-0/devtest.ktest tests_touch_60-seconds.sh-out/Dev-out-0/devtest.ktest tests_touch_no-rights.sh-out/Dev-out-0/devtest.ktest tests_touch_no-rights.sh-out/Dev-out-1/devtest.ktest tests_touch_no-rights.sh-out/Dev-out-3/devtest.ktest tests_touch_no-rights.sh-out/Dev-out-2/devtest.ktest tests_touch_relative.sh-out/Dev-out-0/devtest.ktest tests_touch_relative.sh-out/Dev-out-1/devtest.ktest tests_ls_rt-1.sh-out/Dev-out-0/devtest.ktest tests_ls_rt-1.sh-out/Dev-out-1/devtest.ktest tests_ls_rt-1.sh-out/Dev-out-2/devtest.ktest tests_touch_no-dereference.sh-out/Dev-out-0/devtest.ktest tests_touch_no-dereference.sh-out/Dev-out-1/devtest.ktest tests_touch_no-dereference.sh-out/Dev-out-5/devtest.ktest tests_touch_no-dereference.sh-out/Dev-out-6/devtest.ktest tests_touch_no-dereference.sh-out/Dev-out-3/devtest.ktest tests_touch_no-dereference.sh-out/Dev-out-2/devtest.ktest tests_touch_no-dereference.sh-out/Dev-out-8/devtest.ktest tests_touch_no-dereference.sh-out/Dev-out-7/devtest.ktest tests_touch_no-dereference.sh-out/Dev-out-9/devtest.ktest tests_touch_no-dereference.sh-out/Dev-out-4/devtest.ktest tests_touch_no-create-missing.sh-out/Dev-out-0/devtest.ktest tests_touch_no-create-missing.sh-out/Dev-out-1/devtest.ktest tests_touch_no-create-missing.sh-out/Dev-out-5/devtest.ktest tests_touch_no-create-missing.sh-out/Dev-out-3/devtest.ktest tests_touch_no-create-missing.sh-out/Dev-out-2/devtest.ktest tests_touch_no-create-missing.sh-out/Dev-out-4/devtest.ktest tests_touch_obsolescent.sh-out/Dev-out-0/devtest.ktest tests_touch_obsolescent.sh-out/Dev-out-1/devtest.ktest tests_touch_obsolescent.sh-out/Dev-out-5/devtest.ktest tests_touch_obsolescent.sh-out/Dev-out-6/devtest.ktest tests_touch_obsolescent.sh-out/Dev-out-3/devtest.ktest tests_touch_obsolescent.sh-out/Dev-out-2/devtest.ktest tests_touch_obsolescent.sh-out/Dev-out-8/devtest.ktest tests_touch_obsolescent.sh-out/Dev-out-7/devtest.ktest tests_touch_obsolescent.sh-out/Dev-out-4/devtest.ktest tests_touch_fifo.sh-out/Dev-out-0/devtest.ktest tests_touch_not-owner.sh-out/Dev-out-0/devtest.ktest tests_touch_dangling-symlink.sh-out/Dev-out-0/devtest.ktest tests_misc_help-version.sh-out/Dev-out-0/devtest.ktest tests_misc_help-version.sh-out/Dev-out-10/devtest.ktest tests_misc_help-version.sh-out/Dev-out-1/devtest.ktest tests_misc_help-version.sh-out/Dev-out-5/devtest.ktest tests_misc_help-version.sh-out/Dev-out-6/devtest.ktest tests_misc_help-version.sh-out/Dev-out-3/devtest.ktest tests_misc_help-version.sh-out/Dev-out-2/devtest.ktest tests_misc_help-version.sh-out/Dev-out-8/devtest.ktest tests_misc_help-version.sh-out/Dev-out-11/devtest.ktest tests_misc_help-version.sh-out/Dev-out-12/devtest.ktest tests_misc_help-version.sh-out/Dev-out-7/devtest.ktest tests_misc_help-version.sh-out/Dev-out-9/devtest.ktest tests_misc_help-version.sh-out/Dev-out-4/devtest.ktest tests_misc_invalid-opt.pl-out/Dev-out-0/devtest.ktest tests_touch_now-owned-by-other.sh-out/Dev-out-0/devtest.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000009.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000019.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000020.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000011.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000008.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000021.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000003.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000015.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000013.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000010.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000007.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000023.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000001.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000004.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000006.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000012.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000002.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000014.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000005.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000018.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000016.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000022.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000017.ktest
src/touch.c:get_reldate 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 
src/touch.c:touch 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
src/touch.c:usage 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 
src/touch.c:main 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
